33875,"Descending thoracic aorta graft, with or without bypass "
33877,"Repair of thoracoabdominal aortic aneurysm with graft, with or without cardiopulmonary bypass "
34830,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; tube prosthesis  "
34831,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bi-iliac prosthesis "
34832,"Open repair of infrarenal aortic aneurysm or dissection, plus repair of associated arterial trauma, following unsuccessful endovascular repair; aorto-bifemoral prosthesis  "
35081,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta"
35082,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta  "
35091,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving visceral vessels (mesenteric, celiac, renal) "
35092,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving visceral vessels (mesenteric, celiac, renal)  "
35102,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for aneurysm, pseudoaneurysm, and associated occlusive disease, abdominal aorta involving iliac vessels (common, hypogastric, external)  "
35103,"Direct repair of aneurysm, pseudoaneurysm, or excision (partial or total) and graft insertion, with or without patch graft; for ruptured aneurysm, abdominal aorta involving iliac vessels (common, hypogastric, external)  "
11752,"Excision of nail and nail matrix, partial or complete (e.g., ingrown or deformed nail), for permanent removal; with amputation of tuft of distal phalanx "
23900,Interthoracoscapular amputation (forequarter)
23920,Disarticulation of shoulder
24900,"Amputation, arm through humerus; with primary closure "
24920,"Amputation, arm through humerus; open, circular (guillotine) "
24930,"Amputation, arm through humerus; re-amputation "
24931,"Amputation, arm through humerus; with implant "
25900,"Amputation, forearm, through radius and ulna"
25905,"Amputation, forearm, through radius and ulna; open, circular (guillotine) "
25909,"Amputation, forearm, through radius and ulna; re-amputation"
25920,Disarticulation through wrist
25922,Disarticulation through wrist; secondary closure or scar revision 
25924,Disarticulation through wrist; re-amputation 
25927,Transmetacarpal amputation;  
25929,Transmetacarpal amputation; secondary closure or scar revision 
25931,Transmetacarpal amputation; re-amputation 
26551,"Transfer, toe-to-hand with microvascular anastomosis; great toe wrap-around with bone graft "
26910,"Amputation, metacarpal, with finger or thumb (ray amputation), single, with or without interosseous transfer "
26951,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with direct closure "
26952,"Amputation, finger or thumb, primary or secondary, any joint or phalanx, single, including neurectomies; with local advancement flaps (V-Y, hood) "
27290,Interpelviabdominal amputation (hindquarter amputation) 
27295,Disarticulation of hip 
27590,"Amputation, thigh, through femur, any level; "
27591,"Amputation, thigh, through femur, any level; immediate fitting technique including first cast "
27592,"Amputation, thigh, through femur, any level; open, circular (guillotine) "
27598,Disarticulation at knee
27880,"Amputation, leg, through tibia and fibula; "
27882,"Amputation, leg, through tibia and fibula; open, circular (guillotine) "
27884,"Amputation, leg, through tibia and fibula; secondary closure or scar revision "
27886,"Amputation, leg, through tibia and fibula; re-amputation "
27888,"Amputation, ankle, through malleoli of tibia and fibula (e.g., Syme, Pirogoff type procedures), with plastic closure and resection of nerves "
27889,Ankle disarticulation 
28800,"Amputation, foot; midtarsal (e.g., Chopart type procedure) "
28805,"Amputation, foot; transmetatarsal "
28810,"Amputation, metatarsal, with toe, single "
28820,"Amputation, toe; metatarsophalangeal joint "
28825,"Amputation, toe; interphalangeal joint "
44900,Incision and drainage of appendiceal abscess; open 
44950,Appendectomy
44955,Appendectomy; when done for indicated purpose at time of other major procedure (not as separate procedure) (List separately in addition to code for primary procedure) 
44960,Appendectomy; for ruptured appendix with abscess or generalized peritonitis 
44970,"Laparoscopy, surgical, appendectomy "
44979,"Unlisted laparoscopy procedure, appendix "
36800,"Insertion of cannula for hemodialysis, other purpose (separate procedure); vein to vein "
36810,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external (Scribner type) "
36815,"Insertion of cannula for hemodialysis, other purpose (separate procedure); arteriovenous, external revision, or closure "
